Mouse_ID	Litter_num	Litter_order	Genotype
1	7	1	wt
2	3	1	wt
3	5	1	wt
4	8	1	wt
5	8	1	wt
6	7	1	wt
7	8	1	wt
8	8	1	wt
9	9	1	wt
10	8	1	wt
11	7	1	het
12	7	1	het
13	2	1	het
14	6	1	het
15	6	1	het
16	8	1	het
17	6	1	het
18	7	1	het
19	6	1	het
20	9	1	het
1	7	2	wt
2	8	2	wt
3	7	2	wt
4	5	2	wt
5	7	2	wt
6	4	2	wt
7	10	2	wt
8	10	2	wt
9	9	2	wt
10	6	2	wt
11	9	2	het
12	9	2	het
13	6	2	het
14	6	2	het
15	1	2	het
16	6	2	het
17	8	2	het
18	8	2	het
19	7	2	het
20	4	2	het
1	7	3	wt
2	4	3	wt
3	5	3	wt
4	10	3	wt
5	5	3	wt
6	4	3	wt
7	4	3	wt
8	8	3	wt
9	5	3	wt
10	4	3	wt
12	4	3	het
13	9	3	het
14	7	3	het
15	2	3	het
16	8	3	het
17	5	3	het
18	4	3	het
19	7	3	het
20	8	3	het
1	9	4	wt
2	6	4	wt
3	5	4	wt
4	3	4	wt
5	7	4	wt
6	9	4	wt
7	6	4	wt
9	8	4	wt
10	2	4	wt
11	5	4	het
12	5	4	het
13	5	4	het
14	8	4	het
15	11	4	het
16	7	4	het
17	7	4	het
18	7	4	het
19	9	4	het
20	6	4	het
