Mouse_ID	Latency	Genotype	Litter_order
1	30	wt	1
2	22	wt	1
3	20	wt	1
4	21	wt	1
5	21	wt	1
6	24	wt	1
7	22	wt	1
8	20	wt	1
9	29	wt	1
10	23	wt	1
11	29	het	1
12	22	het	1
13	24	het	1
14	22	het	1
15	22	het	1
16	20	het	1
17	32	het	1
18	23	het	1
19	23	het	1
20	23	het	1
1	25	wt	2
2	20	wt	2
3	23	wt	2
4	26	wt	2
5	22	wt	2
6	25	wt	2
7	49	wt	2
8	51	wt	2
9	39	wt	2
10	24	wt	2
11	47	het	2
12	21	het	2
13	25	het	2
14	25	het	2
15	25	het	2
16	39	het	2
17	28	het	2
18	39	het	2
19	23	het	2
20	23	het	2
1	41	wt	3
2	26	wt	3
3	22	wt	3
4	60	wt	3
5	22	wt	3
6	24	wt	3
7	22	wt	3
8	63	wt	3
9	24	wt	3
10	22	wt	3
11	23	het	3
12	26	het	3
13	24	het	3
14	26	het	3
15	26	het	3
16	25	het	3
17	24	het	3
18	22	het	3
19	23	het	3
20	45	het	3
1	24	wt	4
2	21	wt	4
3	24	wt	4
4	25	wt	4
5	42	wt	4
6	23	wt	4
7	43	wt	4
8	NA	wt	4
9	42	wt	4
10	25	wt	4
11	39	het	4
12	30	het	4
13	23	het	4
14	22	het	4
15	21	het	4
16	48	het	4
17	23	het	4
18	26	het	4
19	27	het	4
20	24	het	4
